	at org.apache.ibatis.binding.MapperProxy.invoke(MapperProxy.java:58)
	at com.sun.proxy.$Proxy119.findTaskById(Unknown Source)
	at com.airback.module.project.service.impl.TaskServiceImpl.findById(TaskServiceImpl.kt:77)
	at com.airback.module.project.service.impl.TaskServiceImpl$$FastClassBySpringCGLIB$$b4c4bc12.invoke(<generated>)
	at org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:749)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
	at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:294)
	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:98)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:93)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:186)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:688)
	at com.airback.module.project.service.impl.TaskServiceImpl$$EnhancerBySpringCGLIB$$a6778d1f.findById(<generated>)
	at com.airback.module.project.schedule.email.service.ProjectTaskRelayEmailNotificationActionImpl.getBeanInContext(ProjectTaskRelayEmailNotificationActionImpl.kt:97)
	at com.airback.module.project.schedule.email.service.ProjectTaskRelayEmailNotificationActionImpl.getBeanInContext(ProjectTaskRelayEmailNotificationActionImpl.kt:64)
	at com.airback.module.project.schedule.email.service.SendMailToFollowersAction.sendNotificationForCreateAction(SendMailToFollowersAction.kt:89)
	at com.airback.schedule.jobs.ProjectSendingRelayEmailNotificationJob.executeJob(ProjectSendingRelayEmailNotificationJob.kt:59)
